year_built;volume_interior;volume_other;lot_size;taxable_value
1976;393;52;179;165000
1915;342;50;441;220000
1939;344;17;233;160000
1975;341;75;150;158000
1957;408;22;180;137500
1979;200;16;100;89000
1979;200;16;100;95000
1980;232;9;100;106000
1980;237;12;100;115000
1989;331;124;252;233000
1906;548;0;121;190000
1932;637;118;602;160000
1972;393;57;550;265000
1964;321;23;149;125000
1969;313;32;152;130000
1979;192;14;100;120000
1900;389;0;126;139000
1981;354;23;166;137500
1910;525;0;185;110000
1976;333;57;204;167000
1976;362;71;196;175000
1980;303;57;241;148000
1979;387;73;228;190000
1979;200;13;100;105000
1949;442;0;333;323000
1989;864;128;987;665000
1936;347;18;182;120000
1983;283;20;134;130000
1975;277;85;162;147500
1955;290;40;109;102500
1977;382;21;182;140000
1979;166;11;100;95000
1984;310;20;151;143000
1975;354;21;180;150000
1975;354;21;207;190000
1988;301;71;169;160000
1963;344;42;245;153000
1988;341;132;233;265000
1915;259;19;145;150000
1961;251;17;142;110000
1959;253;20;443;125000
1979;413;29;100;175000
1920;304;72;318;102000
1900;338;0;140;117500
1988;314;76;171;180000
1989;312;117;413;220000
1975;368;27;180;156500
1991;306;77;136;147500
1983;271;20;163;165000
1982;361;20;176;196000
1921;1563;0;605;295000
1959;330;29;161;145000
1963;285;17;126;118750
1972;398;28;172;147500
1951;457;16;152;161500
1988;293;66;140;165000
1988;255;56;167;146000
1981;327;25;183;161000
1927;325;20;85;88000
1967;349;23;150;155000
1941;342;22;137;112000
1915;370;78;470;95000
1988;268;59;146;155000
1936;323;60;164;118000
1963;212;20;100;87000
1979;411;67;192;190000
1958;325;300;443;135000
1964;277;14;144;95000
1968;332;21;158;184000
1977;362;20;138;140000
1977;359;24;179;165000
1972;324;44;163;214000
1986;553;86;450;375000
1957;287;18;173;132654
1935;265;18;208;155000
1984;319;21;162;168000
1989;280;0;140;140000
1966;225;20;100;93000
1970;349;26;170;133500
1984;295;20;167;139000
1976;360;39;163;157500
1873;300;137;200;150000
1931;274;257;293;160000
1963;334;48;114;140000
1979;411;69;231;172500
1935;364;18;107;99000
1977;141;14;100;83000
1976;485;62;405;277000
1975;277;27;129;119000
1979;398;64;274;250000
1977;425;90;400;225000
1986;351;18;220;185000
1915;679;0;338;145000
1979;200;15;100;99500
1982;361;20;157;149000
1935;302;31;197;190000
1983;351;23;162;154000
1976;389;19;169;145000
1974;475;66;279;292000
1980;283;49;155;153000
1959;420;31;177;182500
1964;277;14;144;95000
1980;354;28;162;155000
1981;354;23;171;169500
1979;395;29;100;180000
1964;407;21;202;179000
1927;798;0;389;246000
1975;414;71;327;290000
1988;313;102;201;200000
1983;351;23;162;142500
1979;166;11;100;97500
1973;390;72;287;238850
1979;364;26;100;190000
1965;199;19;100;92500
1986;340;44;226;216750
1959;317;63;273;200000
1915;323;27;171;130000
1977;317;18;144;145000
1991;316;0;300;265000
1989;301;68;200;152500
1974;384;49;177;160000
1964;326;41;195;184000
1983;300;22;167;132000
1972;470;51;588;328250
1976;263;24;138;137000
1969;313;32;152;106500
1982;319;16;111;120000
1966;385;84;335;198000
1939;376;52;255;101500
1910;290;34;85;85000
1987;563;73;525;373000
1936;471;81;313;214000
1987;295;71;130;149000
1940;305;23;151;125000
1983;283;20;139;140000
1950;391;0;172;100000
1986;322;27;227;163000
1986;333;21;172;150000
1964;277;14;146;85000
1927;402;89;155;129000
1933;395;29;240;210000
1975;277;27;129;135000
1986;351;18;236;168000
1969;388;74;159;162000
1937;345;27;187;80000
1908;402;20;219;185000
1959;301;21;139;102500
1979;245;13;100;129000
1984;298;19;162;135000
1965;199;13;100;105000
1977;346;24;172;185000
1969;329;25;165;128000
1964;277;14;150;90000
1939;442;48;302;213000
1959;340;19;247;150000
